datetime,EventName, EventType
2025-09-30 15:30:24.255,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.266,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.277,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.287,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.298,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.310,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.321,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.332,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.342,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.354,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.365,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.383,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.428,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.439,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.450,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.461,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.472,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.483,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.494,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.506,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.517,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.532,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.542,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.554,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.565,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.576,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.586,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.597,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.609,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.620,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.631,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.642,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.653,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.668,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.678,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.689,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.700,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.712,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.723,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.734,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.746,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.757,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.836,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.847,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.858,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.869,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.879,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.890,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.901,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.913,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.924,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.935,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.946,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.957,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.968,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.979,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:24.989,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.000,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.012,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.023,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.034,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.045,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.057,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.068,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.079,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.089,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.100,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.112,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.123,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.134,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.145,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.156,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.167,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.181,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.192,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.203,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.215,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.227,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.237,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.249,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.260,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.270,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.281,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.292,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.302,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.315,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.326,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.336,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.348,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.360,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.371,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.382,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.392,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.403,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.416,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.426,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.437,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.449,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.459,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.470,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.481,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.492,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.502,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.514,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.526,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.536,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.548,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.625,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.636,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.648,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.658,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.669,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.680,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.695,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.707,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.718,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.729,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.740,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.751,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.762,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.773,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.784,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.794,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.807,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.818,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.828,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.839,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.850,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.861,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.872,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.883,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.893,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.904,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.917,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.927,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.938,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.950,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.961,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.972,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.982,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:25.993,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.004,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.017,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.028,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.039,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.050,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.061,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.072,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.082,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.093,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.104,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.116,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.128,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.138,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.150,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.161,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.171,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.182,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.193,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.203,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.220,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.234,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.246,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.257,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.269,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.280,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.290,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.301,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.313,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.324,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.402,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.414,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.426,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.436,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.448,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.459,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.470,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.480,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.491,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.502,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.514,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.526,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.537,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.548,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.559,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.570,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.581,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.592,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.602,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.614,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.626,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.636,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.648,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.659,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.669,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.680,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.691,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.702,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.714,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.724,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.739,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.751,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.762,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.772,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.783,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.794,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.806,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.817,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.828,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.839,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.850,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.861,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.872,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.883,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.894,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.904,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.917,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.928,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.938,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.950,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.961,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.971,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.982,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:26.996,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.009,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.019,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.030,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.041,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.052,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.063,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.074,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.085,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.163,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.174,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.185,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.196,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.208,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.219,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.230,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.241,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.256,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.267,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.277,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.288,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.299,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.311,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.322,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.332,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.343,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.355,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.366,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.377,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.387,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.398,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.410,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.421,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.432,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.442,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.454,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.465,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.476,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.487,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.497,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
2025-09-30 15:30:27.509,"DI_Clamps"".DI.ClampRear.AtTower                  """,O
